,Ranking,Link,ID,ImageLink,Sponsored,ProductName,Rating,RatingsCount,Price,DeliveryTime,NumBought
0,1.0,https://amazon.com/dp/B0CT2NTKDC,B0CT2NTKDC,https://m.media-amazon.com/images/I/71+9WfLKBeL._AC_UL320_.jpg,Sponsored,"HP 17 Laptop for Business and Student, 17.3"" FHD Anti-Glare Display, Intel Core i3-N305(8-core), 16GB RAM, 1TB SSD, Wi-Fi 6, Fast Charge, Fingerprint Reader, Windows 11 Home, with Laptop Stand",5.0,1.0,499.99,,
1,2.0,https://amazon.com/dp/B0CZDPPCPV,B0CZDPPCPV,https://m.media-amazon.com/images/I/71npaILaMYL._AC_UL320_.jpg,Sponsored,"Laptop Computer, 15.6"" FHD IPS 1920x1080 Screen, 16GB RAM, 512GB SSD, Intel Celeron Quad-Core Processors, WiFi, Bluetooth, Type-C, TF Card, Mini-HDMI, 2MP Webcam.",4.2,22.0,219.99,1.0,100.0
2,3.0,https://amazon.com/dp/B0CQJ7LVYD,B0CQJ7LVYD,https://m.media-amazon.com/images/I/71uBnizn02L._AC_UL320_.jpg,Sponsored,"Laptop Computer 14.1Inch Laptop 8GB RAM 512GB SSD, IPS1080PLaptop, Intel Quad-Core(Up to 2.7GHz) J4125 Processor Windows 11 Pro Laptop, HD Camera, Dual Frequency WiFi(2.4G/5G)",4.4,13.0,229.99,,
3,4.0,https://amazon.com/dp/B0CM5JV26D,B0CM5JV26D,https://m.media-amazon.com/images/I/61RJn0ofUsL._AC_UL320_.jpg,,"Apple 2023 MacBook Pro Laptop M3 Pro chip with 11‑core CPU, 14‑core GPU: 14.2-inch Liquid Retina XDR Display, 18GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Black",4.7,288.0,1935.73,2.0,1000.0
4,5.0,https://amazon.com/dp/B0B3BVWJ6Y,B0B3BVWJ6Y,https://m.media-amazon.com/images/I/719C6bJv8jL._AC_UL320_.jpg,,"Apple 2022 MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Midnight",4.8,2501.0,829.0,1.0,3000.0
5,6.0,https://amazon.com/dp/B0CX23V2ZK,B0CX23V2ZK,https://m.media-amazon.com/images/I/71-D1xCuVwL._AC_UL320_.jpg,,"Apple 2024 MacBook Air 13-inch Laptop with M3 chip: 13.6-inch Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID; Midnight",4.6,191.0,999.0,0.0,3000.0
6,7.0,https://amazon.com/dp/B0BS4BP8FB,B0BS4BP8FB,https://m.media-amazon.com/images/I/61gKkYQn6lL._AC_UL320_.jpg,,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",4.3,1976.0,299.99,1.0,4000.0
7,8.0,https://amazon.com/dp/B0CX23GFMJ,B0CX23GFMJ,https://m.media-amazon.com/images/I/71O14N5GYLL._AC_UL320_.jpg,,"Apple 2024 MacBook Air 15-inch Laptop with M3 chip: 15.3-inch Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID; Midnight",4.6,128.0,1249.99,1.0,1000.0
8,9.0,https://amazon.com/dp/B0BZ8X9HGT,B0BZ8X9HGT,https://m.media-amazon.com/images/I/61oAh3XrX+L._AC_UL320_.jpg,,"HP Notebook Laptop, 15.6"" HD Touchscreen, Intel Core i3-1115G4 Processor, 32GB RAM, 1TB PCIe SSD, Webcam, Type-C, HDMI, SD Card Reader, Wi-Fi, Windows 11 Home, Silver",4.2,1077.0,453.98,2.0,2000.0
9,10.0,https://amazon.com/dp/B0C6NC4KRT,B0C6NC4KRT,https://m.media-amazon.com/images/I/61TGRBGTNzL._AC_UL320_.jpg,,"HP 17 Business Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Pro, Silver",4.3,686.0,496.0,2.0,1000.0
10,11.0,https://amazon.com/dp/B0CNTJH19L,B0CNTJH19L,https://m.media-amazon.com/images/I/61dOHhU8uGL._AC_UL320_.jpg,Sponsored,"HP Probook 250 G8 15.6"" FHD Business Laptop Computer, Intel Core i5-1135G7 (Beat i7-1065G7), 16GB DDR4 RAM, 512GB PCIe SSD, 802.11AC WiFi, Bluetooth 5.0, Natural Silver, Windows 11 Pro, AZ-XUT",5.0,1.0,449.0,,
11,12.0,https://amazon.com/dp/B0CTQ5C2ZD,B0CTQ5C2ZD,https://m.media-amazon.com/images/I/71HS+BrQG7L._AC_UL320_.jpg,Sponsored,"15.6"" Laptop Computer,16GB RAM 512GB SSD, Intel Celeron Quad-Core N5095 Processor, Laptop Computers with FHD IPS 1920x1080 Display,2.4/5G WiFi, Bluetooth, Type-C, Mini HDMI, USB 3.0",4.7,31.0,219.99,1.0,100.0
12,13.0,https://amazon.com/dp/B0CNRBGMLQ,B0CNRBGMLQ,https://m.media-amazon.com/images/I/713adsTH6bL._AC_UL320_.jpg,Sponsored,"15.6"" Laptop Computer, 16GB RAM Laptop Computer, Intel Celeron N5095 Processors,1080P Display, USB 3.0, Bluetooth 4.2, Type-C, Mini-HDMI, 38000mWh Battery.",4.2,25.0,216.59,,
13,14.0,https://amazon.com/dp/B0CRDCXRK2,B0CRDCXRK2,https://m.media-amazon.com/images/I/81GrCeuCzxL._AC_UL320_.jpg,,"ASUS ROG Strix G16 (2024) Gaming Laptop, 16” 16:10 FHD 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74",4.4,1081.0,1392.01,1.0,1000.0
14,15.0,https://amazon.com/dp/B0947BJ67M,B0947BJ67M,https://m.media-amazon.com/images/I/815uX7wkOZS._AC_UL320_.jpg,,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",3.9,1340.0,185.49,,2000.0
15,16.0,https://amazon.com/dp/B0B2D77YB8,B0B2D77YB8,https://m.media-amazon.com/images/I/711OHeRmEaL._AC_UL320_.jpg,,"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",4.1,540.0,249.98,0.0,2000.0
16,17.0,https://amazon.com/dp/B0CM5JV268,B0CM5JV268,https://m.media-amazon.com/images/I/61lsexTCOhL._AC_UL320_.jpg,,"Apple 2023 MacBook Pro Laptop M3 chip with 8‑core CPU, 10‑core GPU: 14.2-inch Liquid Retina XDR Display, 8GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Gray",4.6,230.0,1449.0,1.0,500.0
17,18.0,https://amazon.com/dp/B0CMRGBXM9,B0CMRGBXM9,https://m.media-amazon.com/images/I/71F-Wcriq4L._AC_UL320_.jpg,,"Acer Nitro V Gaming Laptop | Intel Core i7-13620H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 16GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-73B9",4.1,56.0,960.0,4.0,1000.0
