Ranking,Title,Rating,ReviewCount,Price,offer,sponsored,DeliveryDays,Sales
1,"Amazon Basics Wired Computer Keyboard & Mouse, 10-Pack, Black",4.5,10784,139.76,,False,5,100
2,"Logitech MK270 Wireless Keyboard And Mouse Combo For Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia And Shortcut Keys, For PC, Laptop - Black",4.5,93925,27.99,,False,5,10000
3,HP 230 Wireless Mouse and Keyboard Combo - 2.4GHz Wireless Connection - Long Battery Life - Durable & Low-Noise Design - Windows & Mac OS - Adjustable 1600 DPI - Numeric Keypad (18H24AA#ABA),4.3,3006,23.99,,False,5,4000
4,Logitech MK335 Wireless Keyboard and Mouse Combo - Black/Silver,4.5,8228,29.99,,False,5,7000
5,"Logitech MK345 Wireless Combo Full-Sized Keyboard with Palm Rest and Comfortable Right-Handed Mouse, 2.4 GHz Wireless USB Receiver, Compatible with PC, Laptop,Black",4.5,38592,34.99,,False,5,10000
6,"Logitech MK120 Wired Keyboard and Mouse Combo for Windows, Optical Wired Mouse, Full-Size Keyboard, USB Plug-and-Play, Compatible with PC, Laptop - Black",4.6,20895,16.49,,False,5,5000
7,Amazon Basics Ergonomic Wireless Keyboard Mouse Combo - QWERTY - Black,4.2,157,43.49,,False,5,200
8,Logitech M510 Wireless Computer Mouse for PC with USB Unifying Receiver - Graphite,4.7,29746,21.99,,False,5,10000
9,Dell KM3322W Keyboard and Mouse,4.4,1054,19.99,,False,5,4000
10,"Logitech MK540 Advanced Wireless Keyboard and Mouse Combo for Windows, 2.4 GHz Unifying USB-Receiver, Multimedia Hotkeys, 3-Year Battery Life, for PC, Laptop",4.5,11212,44.99,,False,5,9000
11,Arteck 2.4G Wireless Keyboard and Mouse Combo Stainless Steel Ultra Slim Full Size Keyboard and Ergonomic Mice for Computer Desktop PC Laptop and Windows 11/10/8 Build in Rechargeable Battery,4.5,4086,27.85,20,False,5,2000
12,"Wireless Keyboard and Mouse Combo, Ergonomic Full Size Typewriter Retro Round Keycaps Keyboard, Compatible with Windows, PC, Perfer for Home and Office Keyboards (Beige",4.4,846,37.99,5,True,5,100
