PageLink,ThumbnailLink,ArtistName,ArtistForwardName,ArtistLink,Role,Title,Created,Medium,Credit,CreditLink,Accession,OnView,FullResImage
https://www.nga.gov/content/ngaweb/collection/art-object-page.41622.html,"https://media.nga.gov/iiif/a7ea75cd-dc2f-4504-99b6-43f8c08a702a/full/!384,384/0/default.jpg",Margaritone d'Arezzo,Margaritone d'Arezzo,https://www.nga.gov/content/ngaweb/collection/artist-info.1510.html,,Madonna and Child Enthroned with Four Saints,c. 1240/1245,tempera on panel,Samuel H. Kress Collection,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Samuel%20H.%20Kress%20Collection,1952.5.12,Not on View,https://media.nga.gov/iiif/a7ea75cd-dc2f-4504-99b6-43f8c08a702a/full/full/0/default.jpg?attachment_filename=madonna_and_child_enthroned_with_four_saints_1952.5.12.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.37004.html,"https://media.nga.gov/iiif/c2d64bdd-cb82-4772-b1eb-01b2a9b54d24/full/!384,384/0/default.jpg",Byzantine 13th Century (possibly from Constantinople),Byzantine 13th Century,https://www.nga.gov/content/ngaweb/collection/artist-info.1059.html,(painter),Enthroned Madonna and Child,c. 1250/1275,tempera on poplar panel,Gift of Mrs. Otto H. Kahn,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Gift%20of%20Mrs.%20Otto%20H.%20Kahn,1949.7.1,Not on View,https://media.nga.gov/iiif/c2d64bdd-cb82-4772-b1eb-01b2a9b54d24/full/full/0/default.jpg?attachment_filename=enthroned_madonna_and_child_1949.7.1.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.35.html,"https://media.nga.gov/iiif/0913b166-8770-4215-a3c5-b89b606e0f02/full/!384,384/0/default.jpg",Byzantine 13th Century (possibly from Constantinople),Byzantine 13th Century,https://www.nga.gov/content/ngaweb/collection/artist-info.1059.html,(painter),Madonna and Child on a Curved Throne,c. 1260/1280,tempera on linden panel,Andrew W. Mellon Collection,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Andrew%20W.%20Mellon%20Collection,1937.1.1,"On View : West Building, Main Floor — Gallery 1",https://media.nga.gov/iiif/0913b166-8770-4215-a3c5-b89b606e0f02/full/full/0/default.jpg?attachment_filename=madonna_and_child_on_a_curved_throne_1937.1.1.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.41623.html,"https://media.nga.gov/iiif/a0eb9fb8-28a3-4446-b28d-70a4cc50c6e5/full/!384,384/0/default.jpg",Master of the Franciscan Crucifixes,Master of the Franciscan Crucifixes,https://www.nga.gov/content/ngaweb/collection/artist-info.1693.html,,The Mourning Madonna,c. 1270/1275,tempera on panel,Samuel H. Kress Collection,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Samuel%20H.%20Kress%20Collection,1952.5.13,"On View : West Building, Main Floor — Gallery 1",https://media.nga.gov/iiif/a0eb9fb8-28a3-4446-b28d-70a4cc50c6e5/full/full/0/default.jpg?attachment_filename=the_mourning_madonna_1952.5.13.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.41624.html,"https://media.nga.gov/iiif/cbfa8d2d-dd02-4101-94be-15413ecf717f/full/!384,384/0/default.jpg",Master of the Franciscan Crucifixes,Master of the Franciscan Crucifixes,https://www.nga.gov/content/ngaweb/collection/artist-info.1693.html,,The Mourning Saint John the Evangelist,c. 1270/1275,tempera on panel,Samuel H. Kress Collection,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Samuel%20H.%20Kress%20Collection,1952.5.14,"On View : West Building, Main Floor — Gallery 1",https://media.nga.gov/iiif/cbfa8d2d-dd02-4101-94be-15413ecf717f/full/full/0/default.jpg?attachment_filename=the_mourning_saint_john_the_evangelist_1952.5.14.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.41625.html,"https://media.nga.gov/iiif/b21ae2a3-8f77-47d9-ac02-04fce864c313/full/!384,384/0/default.jpg",Master of Saint Francis,Master of Saint Francis,https://www.nga.gov/content/ngaweb/collection/artist-info.1700.html,,Saint James Minor,c. 1272,tempera on panel,Samuel H. Kress Collection,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Samuel%20H.%20Kress%20Collection,1952.5.15,Not on View,https://media.nga.gov/iiif/b21ae2a3-8f77-47d9-ac02-04fce864c313/full/full/0/default.jpg?attachment_filename=saint_james_minor_1952.5.15.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.41626.html,"https://media.nga.gov/iiif/1776edff-237b-411e-b28e-940e253398c1/full/!384,384/0/default.jpg",Master of Saint Francis,Master of Saint Francis,https://www.nga.gov/content/ngaweb/collection/artist-info.1700.html,,Saint John the Evangelist,c. 1272,tempera on panel,Samuel H. Kress Collection,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Samuel%20H.%20Kress%20Collection,1952.5.16,Not on View,https://media.nga.gov/iiif/1776edff-237b-411e-b28e-940e253398c1/full/full/0/default.jpg?attachment_filename=saint_john_the_evangelist_1952.5.16.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.41675.html,"https://media.nga.gov/iiif/9ef95c4f-b934-4d3f-9cba-426efb78bb75/full/!384,384/0/default.jpg",Tuscan 13th Century,Tuscan 13th Century,https://www.nga.gov/content/ngaweb/collection/artist-info.46133.html,(painter),"Madonna and Child with Saint John the Baptist, Saint Peter, and Two Angels",c. 1290,tempera on panel,Samuel H. Kress Collection,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Samuel%20H.%20Kress%20Collection,1952.5.60,"On View : West Building, Main Floor — Gallery 1",https://media.nga.gov/iiif/9ef95c4f-b934-4d3f-9cba-426efb78bb75/full/full/0/default.jpg?attachment_filename=madonna_and_child_with_saint_john_the_baptist%2C_saint_peter%2C_and_two_angels_1952.5.60.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.46176.html,"https://media.nga.gov/iiif/9f21df3d-5266-44a1-ac35-daf58157fec9/full/!384,384/0/default.jpg",Master of Città di Castello,Master of Città di Castello,https://www.nga.gov/content/ngaweb/collection/artist-info.38622.html,(painter),Maestà (Madonna and Child with Four Angels),c. 1290,tempera on panel,Samuel H. Kress Collection,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Samuel%20H.%20Kress%20Collection,1961.9.77,Not on View,https://media.nga.gov/iiif/9f21df3d-5266-44a1-ac35-daf58157fec9/full/full/0/default.jpg?attachment_filename=maesta_%28madonna_and_child_with_four_angels%29_1961.9.77.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.282.html,"https://media.nga.gov/iiif/8c36f19a-c3c2-450f-b6b7-5217d1eafc82/full/!384,384/0/default.jpg",Duccio di Buoninsegna,Duccio di Buoninsegna,https://www.nga.gov/content/ngaweb/collection/artist-info.1249.html,(painter),The Calling of the Apostles Peter and Andrew,1308-1311,tempera on panel,Samuel H. Kress Collection,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Samuel%20H.%20Kress%20Collection,1939.1.141,Not on View,https://media.nga.gov/iiif/8c36f19a-c3c2-450f-b6b7-5217d1eafc82/full/full/0/default.jpg?attachment_filename=the_calling_of_the_apostles_peter_and_andrew_1939.1.141.jpg
