projectName,plotBearing,street,locality,lat,lon,CertificateNo,project_Village,project_Taluka,project_District,project_Division,project_State,pincode,
GREEN CITY 3,33/1/33/2/1,Not Available,Not Available,21.017065,79.058966,P50500000005,Gawasi Manapur,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
UNNATHI WOODS PHASE VII A,246 247/1 247/2,Ghodbunder Road,Anand Nagar,19.268511,72.97367,P51700000002,Thane (M Corp.),Thane,Thane,Konkan,MAHARASHTRA,400615,
FORTUNE DP NANO,668/1,Not Available,Not Available,20.396363,72.878712,P49500000001,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
MAYFAIR VISHWARAJA,S No 204/1A 226/1/2 226/2A,Ganesh Mandir Road,Near Ganesh Mandir,19.3009417389246,73.2185819703309,P51700000001,Titwala,Kalyan,Thane,Konkan,MAHARASHTRA,421605,
MERIDIAN MYSTIC,78/78A,Plot No 78/78A,Nerul Navi Mumbai,19.0189340394745,73.0242332588955,P51700002065,Navi Mumbai (M Corp.),Thane,Thane,Konkan,MAHARASHTRA,400706,
FORTUNE PARADISE,460,Not Available,Not Available,20.423412,72.846426,P49500000002,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
MIDTOWN,"59/3-1,59/1,61/4",Not Available,Not Available,20.413868,72.878467,P49500000003,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
SAINATHVILLA Phase II,46,Not Available,Not Available,19.858827,75.442968,P51500011537,Sundarwadi,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
Pramukh Sneh Phase 2,71/1/1/3,Krishna Co.Road,Near Empress Mall,20.2553175914107,73.0111288016052,P49600000001,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
SIGNATURE HEIGHTS,PLOT NO 88 AND 89,KILVANI NAKA,SILVASSA,20.27876,73.008038,P49600000048,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
FORTUNE-9,"34-1,34-2,34-4,34-4-A",TIN BATTI,NEAR TIN BATTI CIRCLE,18.4883779,74.1021282,P49500000005,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
NANDHA RESIDENCY,"GAT NO 393 , KOREGAON MUL ,URLIKANCHAN ",PUNE-SOLAPUR ROAD,URLIKANCHAN,18.4883779,74.1021282,P52100012200,Koregaon Mul,Haveli,Pune,Pune,MAHARASHTRA,412202,
SHIVAM PARK,7/74,Not Available,Not Available,21.056573,79.071419,P50500002280,Shankarpur,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
Param Residency,357/2,Vapi kachigam Road,Kachigam,19.0778737,72.9055627,P49500000004,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396215,
VIKI HEIGHTS,5867,Not Available,Not Available,19.078961,72.906927,P51800002451,Kurla,Kurla,Mumbai Suburban,Konkan,MAHARASHTRA,400077,
ROYAL RESIDENCY,"32, 33",Not Available,Not Available,21.101756,79.073969,P50500000348,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440015,
DEEP LAXMI DEVELOPERS,892/1,Not Available,Not Available,21.1117002,79.0729793,P49600000002,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
SHIVNERI APPARTMENT,48,Not Available,Not Available,18.991096,75.730914,P52300000176,Ashti,Ashti,beed,Aurangabad,MAHARASHTRA,414203,
PRAMUKH GARDENS PHASE 2,882/1/1,KILVANI ROAD,OPP. YOGI HOSPITAL,20.2800172493618,73.0104592903518,P49600000004,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Diamond One ,Plot Number 19/1 City Survey Number 389 Mouza Dhantoli,Not Available,Not Available,21.130339,79.079207,P50500001314,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440010,
AANAND SHILP APARTMENT,PLOT NO 06 CTS NO 17825,Not Available,Not Available,19.879709,75.325572,P51500001870,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
VRUNDAVAN,"233/3,233/4,233/5,234 AND 237",Not Available,Not Available,20.282335,73.01107,P49600000010,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Immense Heights,7678,Mumbai Pune Old Highway,Talegaon Dabhade Pune,18.71558,73.669579,P52100006356,Talegaon Dabhade (R),Mawal,Pune,Pune,MAHARASHTRA,410506,
SAHJANAND PARK,SURVEY NO 38/2P 38/3P 38/4P 38/5 39P,Silvassa Khanvel Road,Khanvel,20.281795,73.009575,P49600000051,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
SAMRIDDHI,"184/1,2 185/12",indralok,indralok,19.1353171946507,72.9671033718751,P51700001636,Mira-Bhayandar (M Corp.),Thane,Thane,Konkan,MAHARASHTRA,401105,
THE ADDRESS-PHASE-1,"342/1-A,311,354/1","VILLAGE KATHIRIA,DUNETHA",NEAR COAST GUARD,19.2855196,72.8692967,P49500000006,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
Sharvari Serenity,"Plot no. 2 , 3 ,  10 , 11 / Survey no. 156 A",Not Available,Not Available,19.688898,73.56128,P51600000394,Igatpuri (M Cl),Igatpuri,Nashik,Nashik,MAHARASHTRA,422403,
Pramukh Sangam Phase 2,"30/2/3/1,30/2/3/2/1,30/2/3/2,30/2/3/3",Krishna Co.Road,NEAR BYOUR LADY OF HELP ENGLISH SCOOL,20.2568018,73.0110181,P49600000008,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Dwarka Nagari,Gat No. 48,15.00 M Wide Road,Beside Old MIDC,18.426998,76.555207,P52400000234,Baswantpur,Latur,Latur,Aurangabad,MAHARASHTRA,413512,
THE COSMOPOLIS,"138/9,138/11",Not Available,Not Available,18.520144,73.932921,P52100001149,Hadapsar,Haveli,Pune,Pune,MAHARASHTRA,411028,
Shri Krishna Kunj CHS Ltd,CTS NO 202 202/1 To 33,R R Thakur Marg,Maharaj Bhavan,19.138023,72.856293,P51800001311,Andheri,Andheri,Mumbai Suburban,Konkan,MAHARASHTRA,400060,
OMs Premraj Enclave,165/5/B,Not Available,Not Available,20.025984,73.811911,P51600010735,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422003,
Sunrise Residency,"Survey No. 1087/1 , 1088",Not Available,Not Available,20.262869,72.941242,P49600000020,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
PLATINUM GREEN,"PLOT NO. R3, CTS 638",Not Available,Not Available,21.106608,79.016668,P50500006086,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440036,
ANURON SEVEN,SR.NO. 26/3 PLOT NO.1 HISSA NO. 3,Not Available,Not Available,19.097531,74.745709,P52200000566,Ahmadnagar (M Corp.),Nagar,Ahmednagar,Nashik,MAHARASHTRA,414003,
SHASHIKALP CLASSIC,SURVEY NO. 71/1/1/2,SAMARVARNI,SILVASSA,20.255681,73.009667,P49600000031,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
saiprakash appartment,65/2/2,Not Available,Not Available,20.527374,76.209616,P50000001993,Sundar khed (CT),Buldana,Buldana,Amravati,MAHARASHTRA,443001,
THE ADDRESS-PHASE 2,"S N 311, 342/1-A, 354/1",COST GOURD ROAD,KATHIRIA AND DUNETHA,20.5284028,76.21025,P49500000008,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
ROYAL BLISS,533/3, MAIN ROAD,VILLAGE DUNETHA,19.0964492,74.7395591,P49500000007,Not Available,Daman,Daman,DAMAN & DIU,DAMAN & DIU,396210,
RONAK RESIDENCY,SR.NO. 388-1 PLOT NO. 16-17-18,Not Available,Not Available,19.0964492,74.7395591,P52200002076,Ahmadnagar (M Corp.),Nagar,Ahmednagar,Nashik,MAHARASHTRA,414001,
Yogi Milan Phase 2,261/1,SUB JAIL ROAD,NR. BALAJI TEMPLE,20.2799930317985,72.9920424669342,P49600000006,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Rambaug,5626A 1 1,Not Available,Not Available,17.9824172,74.511286,P52700000048,Phaltan (M Cl),Phaltan,Satara,Pune,MAHARASHTRA,415523,
NAVALAKHA RITZ,S NO 42 AND S NO 43,Not Available,Not Available,18.559884,73.941599,P52100002664,KHARADI,Haveli,Pune,Pune,MAHARASHTRA,411014,
PRABHAT APPARTMENT,SURVEY NO 326/2/2/1/1/1,Not Available,Not Available,20.280572,73.006395,P49600000005,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Shiv Elite Phase I,Kh No 66-1 and 66-2,Not Available,Not Available,21.055139,79.066096,P50500009639,Shankarpur,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
Four Seasons Private Residences Phase - 1,1H/136,Dr E Moses,Worli,18.99563,72.820807,P51900002789,GSouth-400018,Ward GSouth,Mumbai City,Konkan,MAHARASHTRA,400018,
RAGHUNATH NAGAR,90,Not Available,Not Available,19.197646,77.300888,P51100015354,Nanded Waghala (M Corp.),Nanded,Nanded,Aurangabad,MAHARASHTRA,431601,
GOVINDA SKY,BENODA-7,Not Available,Not Available,20.910319,77.776212,P50300000544,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444606,
SDPL Aashray Dabha,260 - 18/3,Dabha,Dabha,21.1704241394964,78.9980001905915,P50500014329,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440023,
The Crown Greens,Plot 7 International Biotech Park Rajiv Gandhi IT-BT Park MIDC Phase 2 Hinjawadi Pune 411057,MIDC Phase 2,"Maan, Hinjawadi",18.5917633224859,73.7076783915405,P52100001864,Man,Mulshi,Pune,Pune,MAHARASHTRA,411057,
ARIHANT A & B WING,"105/1/1, 105/5/1",Not Available,Not Available,18.5973002,73.6925236,P49600000042,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
RIDDHI SIDDHI,SURVEY NO 59/1,Not Available,Not Available,20.109709,77.11569,P50200002611,Washim (M Cl),Washim,Washim,Amravati,MAHARASHTRA,444505,
ANANDVANN,"607/2, 629",MUMBAI AGRA MAHAMARG,IGATPURI,19.8260159989312,73.6741761536591,P51600000085,Gondedumala,Igatpuri,Nashik,Nashik,MAHARASHTRA,422403,
Laxmi Chayya,54 - 55 - 56 / 206/A/3/2,Not Available,Not Available,20.109037,73.8301437,P51600008182,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422004,
KOHINOOR PRESTIGE,SURVEY NO 344 HISSA 12A1/2,Not Available,Not Available,16.9904,73.317469,P52800004038,Nachane (CT),Ratnagiri,Ratnagiri,Konkan,MAHARASHTRA,415612,
FLORENZA VILLAS,GUT NO 42 GOLWADI WALUJ LINK ROAD,New Paithan Waluj Link Road,Golwadi Village,19.848946,75.276947,P51500002341,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
Gokul,Survey No 38,Vrindavan Marg,Vrindavan,21.011052930933,79.0128810862061,P50500000854,Wagdara (536084),Hingna,Nagpur,Nagpur,MAHARASHTRA,441122,
Vasukamal Samruddhi,"311/1A, Plot no.1,2,3,4",N,Jalgaon,21.023487,75.564887,P49900000069,Jalgaon (M Corp.),Jalgaon,Jalgaon,Nashik,MAHARASHTRA,425001,
