Project Name,Promoter Name,Last Modified Date,Certificate,Certificate Date,Do you have any Past Experience ?,Pin Code,Office Number,Website URL,Project Status,Proposed Date of Completion,Revised Proposed Date of Completion,Litigations related to the project ?,Project Type,Are there any Co-Promoters (as defined by MahaRERA Order) in the project ?,Division,District,Taluka,Village,Pin Code,Area(In sqmts),Total Building Count,Aggregate area(In sqmts) of recreational open space,Built-up-Area as per Proposed FSI (In sqmts),Built-up-Area as per Approved FSI (In sqmts),TotalFSI,Bank Name,IFSC Code,Community Buildings Available,Community Buildings Percent,Number of Slab of Super Structure,Number of Open Parking,Number of Closed Parking,Carpet Area (in Sqmts),Excavation,X number of Slabs of Super Structure,"Installation of lifts, water pumps, Fire Fighting Fittings and Equipment as per CFO NOC, Electrical fittings to Common Areas, electro, mechanical equipment, Compliance to conditions of environment /CRZ NOC, Finishing to entrance lobby/s, plinth protection, paving of areas appurtenant to Building/Wing, Compound Wall and all other requirements as may be required to Obtain Occupation /Completion Certificate",Number of Apartment,Number of Booked Apartment,NOA(0-30),NOBA(0-30),NOA(31-45),NOBA(31-45),NOA(46-60),NOBA(46-60),NOA(61-90),NOBA(61-90),NOA(91-120),NOBA(91-120),NOA(121-150),NOBA(121-150),NOA(151-200),NOBA(151-200),NOA(>200),NOBA(>200),1RK,B1RK,1BHK,B1BHK,2BHK,B2BHK,3BHK,B3BHK,4BHK,B4BHK,5BHK & MORE,B5BHK & MORE,SHOP,BSHOP,BUNGLOW,BBUNGLOW,OFFICE,BOFFICE,OTHERS,BOTHERS,FORM 4,CONVEYANCE
Mohan Areca,MOHAN LIFESPACES LLP,30/09/2023,P51700000829,23/07/2017,Yes,421301,2512305998,www.mohan-group.com,On-Going Project,31/08/2019,31/12/2019,No,Residential,No,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,7272.65,4,727.26,9788.62,0,9788.62,HDFC BANK,HDFC0001804,YES,50,17,8,16,8216.17,100,100,,224,224,37,37,180,180,7,7,0,0,0,0,0,0,0,0,0,0,0,0,32,32,178,178,0,0,0,0,0,0,14,14,0,0,0,0,0,0,YES,NO
Evergreen Heights,Vijay  Vasudev Wadhwa,28/07/2020,P51700000095,30/06/2017,No,400098,2267308400,,On-Going Project,31/08/2016,31/12/2018,No,Residential,No,Konkan,Thane,Thane,Thane (M Corp.),400605,4444.77,1,447.85,8083.05,95.32,8178.37,HDFC Bank,HDFC0000212,NO,0,31,4,133,7476.02,100,100,,155,130,0,0,64,64,66,91,0,0,0,0,0,0,0,0,0,0,0,0,64,64,91,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
VISHWAJEET ELITE,VISHWAJEET MEADOWS,14/05/2021,P51700001654,29/07/2017,Yes,421501,8308881112,gbkgroup.in,On-Going Project,31/12/2018,31/12/2018,No,Residential,No,Konkan,Thane,Ambarnath,Ambarnath(M Cl),421501,1820.6,1,0,2890.55,0,2890.55,AXIS BANK,UTIB0000771,NO,0,9,0,30,2448.08,100,0,,80,28,9,32,19,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
GNP ARCADIA,PRIVA INFRACON,26/04/2023,P51700004413,09/08/2017,No,400701,2227780906,,On-Going Project,31/01/2021,30/01/2022,No,Commercial,Yes,Konkan,Thane,Kalyan,DOMBIVLI,421202,2500,1,250,3739.04,0,3739.04,PUNJAB NATIONAL BANK,PUNB0662700,NO,0,4,0,32,2980.24,100,100,,62,32,5,6,14,23,6,20,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,32,0,0,0,0,0,0,YES,NO
PINE WOOD,RDC VENTURES,29/09/2018,P51800007505,17/08/2017,Yes,400089,9004785511,,On-Going Project,31/12/2016,31/12/2017,No,Residential,No,Konkan,Thane,Thane,Thane (M Corp.),400615,2020,1,344,3636,0,3636,ICICI BANK LTD,ICIC0000268,NO,0,14,5,54,3462.99,100,100,,76,25,0,0,18,51,1,12,6,13,0,0,0,0,0,0,0,0,0,0,51,18,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
THANEKAR PARKLAND,AJAY MADHUKAR THANEKAR,19/02/2022,P51700000644,19/07/2017,Yes,421503,2512671997,thanekargroup.com,On-Going Project,31/12/2018,31/12/2019,No,Residential,No,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,6100,3,610,10125.16,0,10125.16,IDBI Bank,IBKL0000661,YES,1,8,80,0,7963.89,100,38.3333333333333,,237,89,19,27,70,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,48,96,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
INDRAPRASTH WING C,SONAM BUILDERS,05/04/2022,P51700002491,01/08/2017,Yes,401105,2228167480,www.sonambuilders.com,On-Going Project,31/12/2019,30/09/2020,No,Residential,No,Konkan,Thane,Thane,Mira-Bhayandar (M Corp.),401105,11116,1,1358.93,2577,10148,12725,AXIS BANK,UTIB0003146,NO,0,0,0,1,13051.21,2,100,,157,2,0,0,0,0,0,0,2,117,0,40,0,0,0,0,0,0,0,0,0,0,117,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
Bhavani Heights,Kalyani Enterprises,16/09/2021,P51800003594,05/08/2017,No,400075,2245206510,,On-Going Project,01/12/2022,30/12/2023,No,Residential,Yes,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,4480,2,0,5068.97,2315.61,7384.58,Dena Bank,BKDN0460050,NO,0,13,20,1,4069.81,100,50,,107,83,24,24,59,71,0,12,0,0,0,0,0,0,0,0,0,0,0,0,71,59,36,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
KEYSTONE SOLISTA,Keystone Lifespaces Private Limited,28/06/2022,P51700000885,23/07/2017,Yes,400705,2227818100,www.keystonelifespaces.com,New Project,30/12/2023,,No,Others,No,Konkan,Thane,Thane,Navi Mumbai (M Corp.),400706,1538,1,230.7,2298.73,8.27,2307,HDFC,HDFC0001029,NO,0,14,7,44,2133.52,100,100,,47,45,4,6,0,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,6,4,YES,NO
VASANT FIONA,Sheth Developers Private Limited,19/12/2019,P51700000734,23/07/2017,Yes,400057,2242933400,,On-Going Project,31/07/2018,31/12/2019,No,Residential,No,Konkan,Thane,Thane,Thane (M Corp.),400601,2356.96,1,1085.44,4503.12,52.46,4555.58,HDFC BANK,HDFC0000212,NO,0,12,60,52,4251.22,100,100,,70,66,0,0,0,0,46,46,20,24,0,0,0,0,0,0,0,0,0,0,0,0,46,46,24,20,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
RAMBHUVAN RESIDENCY,ABHAY ANANT KAMAT,29/06/2021,P51700008571,19/08/2017,Yes,421201,2512461777,,On-Going Project,31/07/2015,31/12/2017,No,Residential,No,Konkan,Thane,Kalyan,DOMBIVLI,421201,478.5,1,0,791.75,0,791.75,IDBI BANK,IBKL0000669,NO,0,8,6,0,734.23,100,100,,21,17,8,8,1,3,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,YES,NO
Courtyard - Florence,COURTYARD REAL ESTATE PRIVATE LIMITED,12/04/2021,P51700000831,23/07/2017,No,400098,2267890202,,On-Going Project,31/12/2019,30/12/2021,Yes,Residential,Yes,Konkan,Thane,Thane,Thane (M Corp.),400601,563.94,1,0,13097.36,0,13097.36,Kotak Mahindra Bank,KKBK0000631,NO,0,30,0,0,11878.17,100,100,,108,104,0,0,0,0,0,0,0,0,101,105,0,0,0,0,3,3,0,0,0,0,0,0,105,101,0,0,3,3,0,0,0,0,0,0,0,0,YES,NO
SALASAR WOODS,SALASAR ESTATE DEVELOPERS LLP,05/06/2023,P51700000177,10/07/2017,Yes,401101,2228143400,,On-Going Project,24/12/2020,25/12/2022,Yes,Residential,No,Konkan,Thane,Thane,BHAYANDAR,401107,7850,1,2422.25,7923.52,0,7923.52,BASSEIN CATHOLIC COOP BANK LTD,BACB0000003,NO,0,16,26,51,7789.54,100,100,,173,171,5,5,108,110,58,58,0,0,0,0,0,0,0,0,0,0,0,0,108,106,56,56,0,0,0,0,0,0,0,0,0,0,0,0,173,171,NO,NO
Courtyard - Onyx,COURTYARD REAL ESTATE PRIVATE LIMITED,12/04/2021,P51700000714,20/07/2017,No,400098,2267890202,,On-Going Project,31/05/2021,30/05/2023,Yes,Residential,No,Konkan,Thane,Thane,Thane (M Corp.),400601,368.41,1,0,7587.6,0,7587.6,KOTAK MAHINDRA BANK,KKBK0000631,YES,0,30,0,0,7167.87,100,25,,111,111,0,0,0,0,0,0,111,111,0,0,0,0,0,0,0,0,0,0,0,0,111,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
Bharat Ecovistas Phase II,BHARAT REALTY VENTURE PRIVATE LIMITED,25/04/2023,P51700000111,04/07/2017,Yes,400053,2226378000,www.bharatrealty.in,On-Going Project,31/12/2022,30/12/2023,No,Residential,No,Konkan,Thane,Thane,Thane (M Corp.),400616,30600,2,3843,12680,0,12680,Central Bank of India,CBIN0280604,NO,0,24,26,112,6398.503,100,100,,134,134,0,0,0,0,134,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
SATYAM OLEANDER,SAHYOG GROUP,10/10/2020,P51700010440,27/08/2017,No,421503,2516541111,,On-Going Project,31/12/2019,31/12/2019,No,Residential,Yes,Konkan,Thane,Ambarnath,Ambarnath(M Cl),421501,11933.62,7,1195,12481.95,3590,16071.95,KOTAK MAHINDRA BANK,KKBK0001349,YES,0,9,4,1,13225.81,71.4285714285714,71.4285714285714,,424,316,249,299,67,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,270,104,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
