Release Date,Time,Actual,Previous
2023-07-12,16:30,7.07,6.85
2023-07-06,16:30,6.85,6.75
2023-06-28,16:30,6.75,6.73
2023-06-21,16:30,6.73,6.77
2023-06-14,16:30,6.77,6.81
2023-06-07,16:30,6.81,6.91
2023-05-31,16:30,6.91,6.69
2023-05-24,16:30,6.69,6.57
2023-05-17,16:30,6.57,6.48
2023-05-10,16:30,6.48,6.5
2023-05-03,16:30,6.5,6.55
2023-04-26,16:30,6.55,6.43
2023-04-19,16:30,6.43,6.3
2023-04-12,16:30,6.3,6.4
2023-04-05,16:30,6.4,6.45
2023-03-29,16:30,6.45,6.48
2023-03-22,16:30,6.48,6.71
2023-03-15,16:30,6.71,6.79
2023-03-08,17:30,6.79,6.71
2023-03-01,17:30,6.71,6.62
2023-02-22,17:30,6.62,6.39
2023-02-15,17:30,6.39,6.18
2023-02-08,17:30,6.18,6.19
2023-02-01,17:30,6.19,6.2
2023-01-25,17:30,6.2,6.23
2023-01-18,17:30,6.23,6.42
2023-01-11,17:30,6.42,6.58
2023-01-04,17:30,6.58,6.34
2022-12-21,17:30,6.34,6.42
2022-12-14,17:30,6.42,6.41
2022-12-07,17:30,6.41,6.49
2022-11-30,17:30,6.49,6.67
2022-11-23,17:30,6.67,6.9
2022-11-16,17:30,6.9,7.14
2022-11-09,17:30,7.14,7.06
2022-11-02,16:30,7.06,7.16
2022-10-26,16:30,7.16,6.94
2022-10-19,16:30,6.94,6.81
2022-10-12,16:30,6.81,6.75
2022-10-05,16:30,6.75,6.52
2022-09-28,16:30,6.52,6.25
2022-09-21,16:30,6.25,6.01
2022-09-14,16:30,6.01,5.94
2022-09-07,16:30,5.94,5.8
2022-08-31,16:30,5.8,5.65
2022-08-24,16:30,5.65,5.45
2022-08-17,16:30,5.45,5.47
2022-08-10,16:30,5.47,5.43
2022-08-03,16:30,5.43,5.74
2022-07-27,16:30,5.74,5.82
2022-07-20,16:30,5.82,5.74
2022-07-13,16:30,5.74,5.74
2022-07-06,16:30,5.74,5.84
2022-06-29,16:30,5.84,5.98
2022-06-22,16:30,5.98,5.65
2022-06-15,16:30,5.65,5.4
2022-06-08,16:30,5.4,5.33
2022-06-01,16:30,5.33,5.46
2022-05-25,16:30,5.46,5.49
2022-05-18,16:30,5.49,5.53
2022-05-11,16:30,5.53,5.36
2022-05-04,16:30,5.36,5.37
2022-04-27,16:30,5.37,5.2
2022-04-20,16:30,5.2,5.13
2022-04-13,16:30,5.13,4.9
2022-04-06,16:30,4.9,4.8
2022-03-30,16:30,4.8,4.5
2022-03-23,16:30,4.5,4.27
2022-03-16,16:30,4.27,4.09
2022-03-09,17:30,4.09,4.15
2022-03-02,17:30,4.15,4.06
2022-02-23,17:30,4.06,4.05
2022-02-16,17:30,4.05,3.83
2022-02-09,17:30,3.83,3.78
2022-02-02,17:30,3.78,3.72
2022-01-26,17:30,3.72,3.64
2022-01-19,17:30,3.64,3.52
2022-01-12,17:30,3.52,3.33
2022-01-05,17:30,3.33,3.31
2021-12-22,17:30,3.27,3.3
2021-12-15,17:30,3.3,3.3
2021-12-08,17:30,3.3,3.31
2021-12-01,17:30,3.31,3.24
2021-11-24,17:30,3.24,3.2
2021-11-17,17:30,3.2,3.16
2021-11-10,17:30,3.16,3.24
2021-11-03,16:30,3.24,3.3
2021-10-27,16:30,3.3,3.23
2021-10-20,16:30,3.23,3.18
2021-10-13,16:30,3.18,3.14
2021-10-06,16:30,3.14,3.1
2021-09-29,16:30,3.1,3.03
2021-09-22,16:30,3.03,3.03
2021-09-15,16:30,3.03,3.03
2021-09-08,16:30,3.03,3.03
2021-09-01,16:30,3.03,3.03
2021-08-25,16:30,3.03,3.06
2021-08-18,16:30,3.06,2.99
2021-08-11,16:30,2.99,2.97
2021-08-04,16:30,2.97,3.01
2021-07-28,16:30,3.01,3.11
2021-07-21,16:30,3.11,3.09
2021-07-14,16:30,3.09,3.15
2021-07-07,16:30,3.15,3.2
2021-06-30,16:30,3.2,3.18
2021-06-23,16:30,3.18,3.11
2021-06-16,16:30,3.11,3.15
2021-06-09,16:30,3.15,3.17
