name,price,premium,ratingAvg,user_handle,category,firstPublish,datePublished,modified,likesCount,downloadCount
"7 Segment Mechanical Counter, Version 2.0, Ratchet",,False,4.4285714286,Flower3D_1945812,Hobby & Makers,2024-04-28T15:32:57.800415+00:00,2024-05-03T03:06:56.596616+00:00,2024-05-03T03:06:56.622760+00:00,1040,2297
"Solder Scroll - Ergonomic, Adjustable Solder Tool",,False,4.8230769231,victordesigns,Hobby & Makers,2024-04-14T11:31:37+00:00,2024-04-14T18:58:47+00:00,2024-04-17T09:30:47.294610+00:00,3388,6945
Hexagon Moon Wall Art,,False,5,Quan1um_1914208,Art & Design,2024-04-19T23:08:13.269228+00:00,2024-04-29T01:48:54.516601+00:00,2024-04-29T01:48:54.537064+00:00,1075,1338
Magnetic Connector for Electronic Projects,,False,4,TamiyaGuy_998287,Hobby & Makers,2024-04-14T20:05:11.500322+00:00,2024-04-22T13:38:34.376527+00:00,2024-04-22T13:38:34.399939+00:00,1480,722
ULTIMATE Helmet Holder,,False,5,Flobi,Household,2024-04-21T13:31:52.285524+00:00,2024-04-24T08:22:17.449423+00:00,2024-04-24T08:22:17.494520+00:00,680,1284
Optimized Bed Scraper XL,,False,4.9259259259,ThreeDMichael,3D Printers,2024-04-04T15:54:34.378067+00:00,2024-04-10T17:05:31.340216+00:00,2024-04-10T17:05:31.360267+00:00,1866,6023
Shaker siphon for garden hose,,False,4.9375,DrJones,Household,2024-04-05T14:41:35.722541+00:00,2024-04-29T10:54:32.308636+00:00,2024-04-29T10:54:32.392318+00:00,2250,4446
Sand Dune Plant pot and Planter - Vase mode design,,False,4.9,SASSyDesign,Household,2024-04-07T10:12:47.231112+00:00,2024-04-07T10:12:47.234597+00:00,2024-04-07T10:12:47.263515+00:00,1467,3203
stackable storage box · japanese influence,,False,5,h3li0,Household,2024-04-17T15:47:32.262154+00:00,2024-04-17T15:47:32.265746+00:00,2024-04-17T15:47:32.282191+00:00,631,1233
Bolts and Nuts M4 M5 M6 M7 M8,,False,0,Fabrizio_1560186,Hobby & Makers,2024-04-17T15:23:19.334051+00:00,2024-04-22T13:17:14.405856+00:00,2024-04-22T13:17:14.430543+00:00,572,936
Strong Printable Clamp,,False,5,squinn,Hobby & Makers,2024-04-10T16:42:55+00:00,2024-04-12T20:21:28.027249+00:00,2024-04-12T20:21:28.050854+00:00,1251,2599
Multitool third arm,,False,0,LU_technic,Hobby & Makers,2024-04-16T11:50:40.125272+00:00,2024-04-29T07:08:04.427994+00:00,2024-04-29T07:08:04.447750+00:00,793,846
Cable Wrapper Organizer Management,,False,4.9090909091,Sponge,Hobby & Makers,2024-04-04T17:51:46.701473+00:00,2024-04-21T11:39:33.366584+00:00,2024-04-21T11:39:33.394020+00:00,1221,1734
"Cute Pokemon Pot Plants - Pikachu, Bulbasaur, Charmander, Squirtle",,False,5,CalebTimoteo,Household,2024-04-06T05:00:12.456008+00:00,2024-04-06T16:21:23.306501+00:00,2024-04-06T16:21:25.464145+00:00,972,1558
Water Dragon - Articulated Dragon,,False,4.8958333333,BeardedPrinter,Toys & Games,2024-04-07T15:25:59.404245+00:00,2024-04-23T14:12:28.896573+00:00,2024-04-23T14:12:28.925394+00:00,1552,9687
Dragon Scale Fabric,,False,4.8,ftobler,Fashion,2024-04-20T17:41:21.501852+00:00,2024-04-20T17:41:21.505150+00:00,2024-04-20T17:41:21.520518+00:00,476,910
iron man mark 46 helmet,,False,5,DaRambo_723816,Costumes & Accessories,2024-04-11T22:07:40.367096+00:00,2024-04-11T22:07:40.370480+00:00,2024-04-11T22:07:40.385113+00:00,794,2007
organiser with grid pattern and removable separator,,False,4.75,h3li0,Household,2024-04-13T14:02:14.890696+00:00,2024-04-23T20:19:29.686555+00:00,2024-04-23T20:19:29.705034+00:00,756,2115
Coat Hanger Hook,,False,4.9090909091,SD_3D,Hobby & Makers,2024-04-06T14:29:01.354090+00:00,2024-04-06T19:53:25.675474+00:00,2024-04-06T19:53:25.697922+00:00,726,1286
Compressed Air Nozzle Replacement,,False,5,sobieh,Hobby & Makers,2024-04-18T14:37:11+00:00,2024-04-18T14:37:11+00:00,2024-04-22T08:49:53.601137+00:00,523,855
TILT PHONE STAND V3.0,,False,4.9375,Matthew_Ghost,Gadgets,2024-04-06T11:08:57.796290+00:00,2024-04-06T11:08:57.801848+00:00,2024-04-06T11:08:57.828016+00:00,950,3518
Cat bookmark,,False,4.9473684211,Suteren,Household,2024-04-09T17:09:40.672215+00:00,2024-04-25T17:18:47.037472+00:00,2024-04-25T17:18:47.060171+00:00,690,2071
PopKeys - The Triple Toggle Fidget Toy,,False,5,BenBrandt22_577611,Toys & Games,2024-04-20T15:38:11.432377+00:00,2024-04-20T15:38:46.019538+00:00,2024-04-20T15:38:46.035395+00:00,408,639
